fname,codec,effort,quality,outname,size,enc_time,perf,dssim
munhell,libavif,0,12,s0.q12.ss0.avif,17761,5.589951992034912,0.028133873103756306,93.04154039
munhell,libavif,1,12,s1.q12.ss0.avif,18137,3.53788161277771,0.044452307118474886,93.24997573
munhell,libavif,2,12,s2.q12.ss0.avif,18157,2.010338306427002,0.07822912168425646,92.88260856
munhell,libavif,3,12,s3.q12.ss0.avif,18223,0.9120807647705078,0.17242661623235808,92.96191948
munhell,libavif,4,12,s4.q12.ss0.avif,19022,0.6832659244537354,0.2301695348348207,92.87422668
munhell,libavif,5,12,s5.q12.ss0.avif,19683,0.39861083030700684,0.39453769953735135,93.00861843
munhell,libavif,6,12,s6.q12.ss0.avif,20962,0.24857258796691895,0.6326803823635202,93.06756053
munhell,libavif,7,12,s7.q12.ss0.avif,23706,0.15337896347045898,1.025349216356452,92.75318016
munhell,libavif,8,12,s8.q12.ss0.avif,24066,0.04426836967468262,3.552581700110408,92.99875725
munhell,libavif,9,12,s9.q12.ss0.avif,57359,0.021317481994628906,7.377372244978303,91.76598999
munhell,libavif,10,12,s10.q12.ss0.avif,57359,0.020383358001708984,7.715460817928744,91.76598999
munhell,libavif,0,16,s0.q16.ss0.avif,16727,5.480118989944458,0.028697734536160854,92.61709055
munhell,libavif,1,16,s1.q16.ss0.avif,17046,3.6121466159820557,0.04353837668276454,92.7491996
munhell,libavif,2,16,s2.q16.ss0.avif,17030,1.916477918624878,0.08206042891057316,92.6080846
munhell,libavif,3,16,s3.q16.ss0.avif,17183,0.9284658432006836,0.16938372170790505,92.65238943
munhell,libavif,4,16,s4.q16.ss0.avif,17910,0.6881158351898193,0.22854727642856426,92.5643214
munhell,libavif,5,16,s5.q16.ss0.avif,18516,0.4081861972808838,0.3852825035428143,92.59399817
munhell,libavif,6,16,s6.q16.ss0.avif,19892,0.2542273998260498,0.6186075934679225,92.63085209
munhell,libavif,7,16,s7.q16.ss0.avif,22002,0.15505599975585938,1.0142593659556671,92.03074508
munhell,libavif,8,16,s8.q16.ss0.avif,22554,0.04534506797790527,3.4682272408683903,92.6583393
munhell,libavif,9,16,s9.q16.ss0.avif,51643,0.02541327476501465,6.188379949226483,90.36747829
munhell,libavif,10,16,s10.q16.ss0.avif,51643,0.023706674575805664,6.633870115233373,90.36747829
munhell,libavif,0,20,s0.q20.ss0.avif,15833,5.561752080917358,0.028276521087588696,92.30118799
munhell,libavif,1,20,s1.q20.ss0.avif,16184,3.655583381652832,0.043021040304897507,92.24220248
munhell,libavif,2,20,s2.q20.ss0.avif,16209,1.9130659103393555,0.08220678605480072,92.05697987
munhell,libavif,3,20,s3.q20.ss0.avif,16411,0.9072787761688232,0.17333922508811814,91.85381609
munhell,libavif,4,20,s4.q20.ss0.avif,17150,0.677546501159668,0.23211248191943518,92.08032621
munhell,libavif,5,20,s5.q20.ss0.avif,17706,0.3954627513885498,0.3976784145859596,91.73367548
munhell,libavif,6,20,s6.q20.ss0.avif,18949,0.26476097106933594,0.5939961594974461,91.82997785
munhell,libavif,7,20,s7.q20.ss0.avif,20647,0.15753459930419922,0.9983013299593794,91.46959021
munhell,libavif,8,20,s8.q20.ss0.avif,21578,0.048607826232910156,3.2354254898467696,92.15704196
munhell,libavif,9,20,s9.q20.ss0.avif,47398,0.02420949935913086,6.496086419097517,88.67382696
munhell,libavif,10,20,s10.q20.ss0.avif,47398,0.020873546600341797,7.534273068737864,88.67382696
munhell,libavif,0,24,s0.q24.ss0.avif,15205,5.477922201156616,0.02870924307154169,91.72074937
munhell,libavif,1,24,s1.q24.ss0.avif,15435,3.6062588691711426,0.04360945947181712,91.98385163
munhell,libavif,2,24,s2.q24.ss0.avif,15424,1.9547381401062012,0.08045425459977756,91.97476716
munhell,libavif,3,24,s3.q24.ss0.avif,15702,0.9314029216766357,0.16884958844331382,91.68132795
munhell,libavif,4,24,s4.q24.ss0.avif,16503,0.7001945972442627,0.22460470363374918,91.90648085
munhell,libavif,5,24,s5.q24.ss0.avif,17020,0.40477490425109863,0.3885295218362667,91.40710064
munhell,libavif,6,24,s6.q24.ss0.avif,18206,0.260653018951416,0.6033576769326179,91.20933503
munhell,libavif,7,24,s7.q24.ss0.avif,19638,0.162933349609375,0.965222898670163,90.96179834
munhell,libavif,8,24,s8.q24.ss0.avif,20688,0.04050850868225098,3.882320162255378,91.83074553
munhell,libavif,9,24,s9.q24.ss0.avif,44002,0.020649194717407227,7.6161323553903175,86.84278434
munhell,libavif,10,24,s10.q24.ss0.avif,44002,0.021178483963012695,7.42579120746603,86.84278434
munhell,libavif,0,28,s0.q28.ss0.avif,14416,5.483659267425537,0.028679207137141026,90.65008185
munhell,libavif,1,28,s1.q28.ss0.avif,14625,3.7020013332366943,0.042481616251202156,90.36645993
munhell,libavif,2,28,s2.q28.ss0.avif,14607,1.9392344951629639,0.08109746417582368,90.35557492
munhell,libavif,3,28,s3.q28.ss0.avif,14918,0.917208194732666,0.17146270705293665,90.08363455
munhell,libavif,4,28,s4.q28.ss0.avif,15748,0.7090198993682861,0.22180900725088226,90.61615445
munhell,libavif,5,28,s5.q28.ss0.avif,16089,0.4105567932128906,0.383057843883856,90.55638557
munhell,libavif,6,28,s6.q28.ss0.avif,17241,0.26215028762817383,0.5999116057544169,90.35582114
munhell,libavif,7,28,s7.q28.ss0.avif,18482,0.16005277633666992,0.9825946390907331,89.23836442
munhell,libavif,8,28,s8.q28.ss0.avif,19874,0.04363298416137695,3.60431455749959,91.25121145
munhell,libavif,9,28,s9.q28.ss0.avif,40454,0.020731210708618164,7.586001715501477,84.38817244
munhell,libavif,10,28,s10.q28.ss0.avif,40454,0.019552230834960938,8.043429996683251,84.38817244
munhell,libavif,0,32,s0.q32.ss0.avif,13682,5.422243356704712,0.029004046785457576,88.86515544
munhell,libavif,1,32,s1.q32.ss0.avif,13885,3.4492616653442383,0.045594395339764594,88.17307079
munhell,libavif,2,32,s2.q32.ss0.avif,13865,1.9300706386566162,0.08148250994039384,88.49269295
munhell,libavif,3,32,s3.q32.ss0.avif,14172,0.9032971858978271,0.17410327681214388,88.25945594
munhell,libavif,4,32,s4.q32.ss0.avif,14868,0.7103800773620605,0.22138430540450738,88.92543099
munhell,libavif,5,32,s5.q32.ss0.avif,15159,0.42175889015197754,0.3728836633255794,88.22977736
munhell,libavif,6,32,s6.q32.ss0.avif,16299,0.26717472076416016,0.5886297908357219,88.05032495
munhell,libavif,7,32,s7.q32.ss0.avif,17354,0.16214847564697266,0.9698950259785326,86.80425086
munhell,libavif,8,32,s8.q32.ss0.avif,18993,0.04033160209655762,3.8993491908277815,90.0704245
munhell,libavif,9,32,s9.q32.ss0.avif,37125,0.019462108612060547,8.080676309788068,81.5825019
munhell,libavif,10,32,s10.q32.ss0.avif,37125,0.020385265350341797,7.71473892035274,81.5825019
munhell,libavif,0,36,s0.q36.ss0.avif,12974,5.424317836761475,0.028992954456720114,86.77745188
munhell,libavif,1,36,s1.q36.ss0.avif,13174,3.6480963230133057,0.04310933321796131,86.54242807
munhell,libavif,2,36,s2.q36.ss0.avif,13183,1.9087836742401123,0.08239121180801594,86.57857236
munhell,libavif,3,36,s3.q36.ss0.avif,13304,0.8928523063659668,0.17613999412747064,85.950151
munhell,libavif,4,36,s4.q36.ss0.avif,13906,0.6678915023803711,0.2354678857860881,86.4084683
munhell,libavif,5,36,s5.q36.ss0.avif,14257,0.4242112636566162,0.3707280156693387,86.03041272
munhell,libavif,6,36,s6.q36.ss0.avif,15428,0.2623870372772217,0.599370310484666,85.55709059
munhell,libavif,7,36,s7.q36.ss0.avif,16126,0.14934158325195312,1.0530690553526272,84.32306246
munhell,libavif,8,36,s8.q36.ss0.avif,18025,0.04035830497741699,3.8967692049505245,88.77615685
munhell,libavif,9,36,s9.q36.ss0.avif,33748,0.019155025482177734,8.210221393144307,76.77752869
munhell,libavif,10,36,s10.q36.ss0.avif,33748,0.018831491470336914,8.351276915464961,76.77752869
munhell,libavif,0,40,s0.q40.ss0.avif,12418,5.434704542160034,0.028937543665896126,83.98566912
munhell,libavif,1,40,s1.q40.ss0.avif,12519,3.638885021209717,0.043218458149501496,82.5298412
munhell,libavif,2,40,s2.q40.ss0.avif,12516,1.87941575050354,0.08367866447743903,82.18648914
munhell,libavif,3,40,s3.q40.ss0.avif,12564,0.8412034511566162,0.1869547726935322,81.95969451
munhell,libavif,4,40,s4.q40.ss0.avif,13288,0.6696038246154785,0.23486574332264445,83.42079279
munhell,libavif,5,40,s5.q40.ss0.avif,13588,0.40665102005004883,0.38673701096494056,83.02984593
munhell,libavif,6,40,s6.q40.ss0.avif,14594,0.2570350170135498,0.6118504856935876,82.40758223
