fname,codec,effort,quality,outname,size,enc_time,perf,dssim
lake,libavif,5,10,lake.s5.q10,582778,9.710399150848389,0.27839844253609386,88.49159517
lake,webp,5,10,lake.q96,888084,0.44398999214172363,6.088785891230348,88.44790362
lake,libavif,6,10,lake.s6.q10,575115,1.502441167831421,1.7993117187423384,87.4501812
lake,libavif,7,10,lake.s7.q10,650612,1.2896928787231445,2.0961269497560155,88.39621375
lake,webp,7,10,lake.q96,888084,0.44398999214172363,6.088785891230348,88.44790362
lake,libavif,8,10,lake.s8.q10,650218,0.847588062286377,3.189473896915986,88.43281891
lake,libavif,5,12,lake.s5.q12,506826,8.947173118591309,0.3021468305316117,86.95898576
lake,webp,5,12,lake.q93,707930,0.41981077194213867,6.439472687881855,86.7396827
lake,libavif,6,12,lake.s6.q12,503831,1.4126992225646973,1.913613284993646,85.83933773
lake,libavif,7,12,lake.s7.q12,558596,1.2106451988220215,2.232991137808514,86.99430129
lake,webp,7,12,lake.q93,707930,0.41981077194213867,6.439472687881855,86.7396827
lake,libavif,8,12,lake.s8.q12,558232,0.7734067440032959,3.495392328759522,86.95779476
lake,libavif,5,14,lake.s5.q14,450779,8.397745609283447,0.32191496691820715,85.59881804
lake,webp,5,14,lake.q91.5,624844,0.4035634994506836,6.698722762786323,85.61868369
lake,libavif,6,14,lake.s6.q14,449880,1.362741231918335,1.9837662035032668,84.33114566
lake,libavif,7,14,lake.s7.q14,487915,1.1524724960327148,2.3457045693550853,85.38890343
lake,webp,7,14,lake.q91.5,624844,0.4035634994506836,6.698722762786323,85.61868369
lake,libavif,8,14,lake.s8.q14,487305,0.7166028022766113,3.772466408743533,85.28339944
lake,libavif,5,16,lake.s5.q16,402471,7.822274446487427,0.3455976926524148,84.13934163
lake,webp,5,16,lake.q90,566604,0.39459919929504395,6.850900875697629,84.6173881
lake,libavif,6,16,lake.s6.q16,403975,1.3073999881744385,2.0677375129663127,82.68270535
lake,libavif,7,16,lake.s7.q16,436112,1.1086561679840088,2.438411545498201,84.04695494
lake,webp,7,16,lake.q90,566604,0.39459919929504395,6.850900875697629,84.6173881
lake,libavif,8,16,lake.s8.q16,435111,0.670795202255249,4.030082491513297,83.78724604
lake,libavif,5,18,lake.s5.q18,365068,7.402298927307129,0.3652054620527803,82.74875888
lake,webp,5,18,lake.q88,490002,0.38315391540527344,7.055545803676767,82.77558917
lake,libavif,6,18,lake.s6.q18,368441,1.269603967666626,2.1292939127848185,81.22352677
lake,libavif,7,18,lake.s7.q18,391210,1.0791401863098145,2.5051054851773285,82.57838743
