fname,codec,effort,quality,outname,size,enc_time,perf,dssim
munhell,libavif,5,8,s5.q8.ss0.avif,21491,0.49802231788635254,0.315783036927851,93.51590734
munhell,webp,5,8,q100.webp,19058,0.031131982803344727,5.051621703424034,93.20642095
munhell,libavif,6,8,s6.q8.ss0.avif,22674,0.3465430736541748,0.4538166016180177,93.18975492
munhell,webp,6,8,q100.webp,19058,0.031131982803344727,5.051621703424034,93.20642095
munhell,libavif,7,8,s7.q8.ss0.avif,26132,0.24997329711914062,0.6291351988890415,93.19716609
munhell,webp,7,8,q100.webp,19058,0.031131982803344727,5.051621703424034,93.20642095
munhell,libavif,5,12,s5.q12.ss0.avif,19683,0.5031206607818604,0.31258306855378126,93.00861843
munhell,webp,5,12,q97.webp,17404,0.03258109092712402,4.8269408888661225,93.00153389
munhell,libavif,6,12,s6.q12.ss0.avif,20962,0.34770703315734863,0.4522974372187393,93.06756053
munhell,webp,6,12,q97.5.webp,17664,0.032209157943725586,4.882679648898923,93.13215694
munhell,libavif,7,12,s7.q12.ss0.avif,23706,0.2458508014678955,0.6396847155307596,92.75318016
munhell,webp,7,12,q94.5.webp,16014,0.03343367576599121,4.703850127061777,92.79674983
munhell,libavif,5,16,s5.q16.ss0.avif,18516,0.40376782417297363,0.3894985944512186,92.59399817
munhell,webp,5,16,q93.5.webp,15536,0.03188967704772949,4.931595881783859,92.52968345
munhell,libavif,6,16,s6.q16.ss0.avif,19892,0.25925731658935547,0.6066058311060102,92.63085209
munhell,webp,6,16,q94.webp,15996,0.03054356575012207,5.148940411430891,92.66386292
munhell,libavif,7,16,s7.q16.ss0.avif,22002,0.15549945831298828,1.0113668671658909,92.03074508
munhell,webp,7,16,q91.5.webp,14762,0.044275522232055664,3.5520077928327187,92.01575986
munhell,libavif,5,20,s5.q20.ss0.avif,17706,0.40963101387023926,0.38392356700271285,91.73367548
munhell,webp,5,20,q90.5.webp,14264,0.03302288055419922,4.762364680509429,91.797512
munhell,libavif,6,20,s6.q20.ss0.avif,18949,0.2542891502380371,0.6184573736346367,91.82997785
munhell,webp,6,20,q90.5.webp,14264,0.03302288055419922,4.762364680509429,91.797512
munhell,libavif,7,20,s7.q20.ss0.avif,20647,0.16263246536254883,0.9670086452259834,91.46959021
munhell,webp,7,20,q88.5.webp,13724,0.032578229904174805,4.827364791229701,91.48260261
munhell,libavif,5,24,s5.q24.ss0.avif,17020,0.43128061294555664,0.36465121612098256,91.40710064
munhell,webp,5,24,q88.5.webp,13724,0.032578229904174805,4.827364791229701,91.48260261
munhell,libavif,6,24,s6.q24.ss0.avif,18206,0.25910496711730957,0.6069625053880094,91.20933503
munhell,webp,6,24,q88.webp,13418,0.030682802200317383,5.125574873287591,91.11527052
munhell,libavif,7,24,s7.q24.ss0.avif,19638,0.15742254257202148,0.9990119421940455,90.96179834
munhell,webp,7,24,q87.webp,13300,0.03258180618286133,4.826834924907432,90.92448756
munhell,libavif,5,28,s5.q28.ss0.avif,16089,0.4454381465911865,0.3530613648685465,90.55638557
munhell,webp,5,28,q86.webp,13064,0.03234291076660156,4.862487521141712,90.57123252
munhell,libavif,6,28,s6.q28.ss0.avif,17241,0.2676973342895508,0.5874806352382071,90.35582114
munhell,webp,6,28,q85.5.webp,12932,0.031145095825195312,5.0494948187886575,90.4144593
munhell,libavif,7,28,s7.q28.ss0.avif,18482,0.16794371604919434,0.9364268202445462,89.23836442
munhell,webp,7,28,q82.5.webp,12398,0.031415462493896484,5.0060380308121974,89.20922717
munhell,libavif,5,32,s5.q32.ss0.avif,15159,0.43651914596557617,0.3602751481888083,88.22977736
munhell,webp,5,32,q77.webp,11578,0.03256487846374512,4.82934398711444,88.21594674
munhell,libavif,6,32,s6.q32.ss0.avif,16299,0.2620809078216553,0.6000704183572937,88.05032495
munhell,webp,6,32,q77.webp,11578,0.03256487846374512,4.82934398711444,88.21594674
munhell,libavif,7,32,s7.q32.ss0.avif,17354,0.1582791805267334,0.9936050937124833,86.80425086
munhell,webp,7,32,q69.webp,11042,0.029505014419555664,5.330178720257287,86.76858287
munhell,libavif,5,36,s5.q36.ss0.avif,14257,0.4278254508972168,0.36759617659535343,86.03041272
munhell,webp,5,36,q65.webp,10854,0.03284335136413574,4.788396843439439,86.19641596
munhell,libavif,6,36,s6.q36.ss0.avif,15428,0.27532029151916504,0.5712147082666178,85.55709059
munhell,webp,6,36,q50.webp,10320,0.031589508056640625,4.978456762226785,85.59525996
munhell,libavif,7,36,s7.q36.ss0.avif,16126,0.15238523483276367,1.032035683592271,84.32306246
munhell,webp,7,36,q44.5.webp,10126,0.030817508697509766,5.103170458834269,84.39999197
munhell,libavif,5,40,s5.q40.ss0.avif,13588,0.43361473083496094,0.36268832402711365,83.02984593
munhell,webp,5,40,q37.5.webp,9834,0.03057861328125,5.143038978043911,83.07943943
munhell,libavif,6,40,s6.q40.ss0.avif,14594,0.2635173797607422,0.5967993463762766,82.40758223
munhell,webp,6,40,q39.webp,9890,0.03394889831542969,4.632462548233048,82.08089013
munhell,libavif,7,40,s7.q40.ss0.avif,15265,0.15940403938293457,0.9865935681981008,79.44407074
munhell,webp,7,40,q26.webp,9318,0.03061819076538086,5.136391016866269,79.39613274
munhell,libavif,5,44,s5.q44.ss0.avif,12899,0.4385960102081299,0.35856915325192096,78.68414751
munhell,webp,5,44,q25.5.webp,9274,0.029542207717895508,5.323468086805639,78.98705107
munhell,libavif,6,44,s6.q44.ss0.avif,13872,0.2705256938934326,0.581338495935812,78.50904238
munhell,webp,6,44,q25.webp,9244,0.03047776222229004,5.160057318282447,78.19834576
munhell,libavif,7,44,s7.q44.ss0.avif,14674,0.158674955368042,0.9911267952477045,75.40811845
munhell,webp,7,44,q17.5.webp,8898,0.03006291389465332,5.231262696327314,75.76032948
mars,libavif,5,8,s5.q8.ss0.avif,240865,3.542618751525879,0.3948446327727236,87.44569961
mars,webp,5,8,q99.webp,407664,0.22271275520324707,6.280664072084572,87.51773947
mars,libavif,6,8,s6.q8.ss0.avif,237476,0.5829451084136963,2.3995123722821097,86.90228572
mars,webp,6,8,q97.5.webp,380354,0.22282695770263672,6.277445127921558,87.11335681
mars,libavif,7,8,s7.q8.ss0.avif,276840,0.40738606452941895,3.433558783155157,88.44887984
mars,webp,7,8,q100.webp,414668,0.20932531356811523,6.682345179169315,87.55312697
mars,libavif,5,12,s5.q12.ss0.avif,171793,2.9427857398986816,0.4753264843699288,84.760858
mars,webp,5,12,q94.webp,265302,0.18551063537597656,7.540182249740389,84.69531896
mars,libavif,6,12,s6.q12.ss0.avif,173151,0.5231654644012451,2.6736933058088743,84.03039132
mars,webp,6,12,q93.5.webp,238690,0.18260931968688965,7.659981442340508,83.79469432
mars,libavif,7,12,s7.q12.ss0.avif,191843,0.36559534072875977,3.8260443834205677,85.03660751
mars,webp,7,12,q94.5.webp,275664,0.19508957862854004,7.16995756428052,84.94648448
mars,libavif,5,16,s5.q16.ss0.avif,132326,2.5315675735473633,0.5525367027987136,82.16132321
mars,webp,5,16,q91.5.webp,213148,0.17938590049743652,7.797625098300237,82.60122229
mars,libavif,6,16,s6.q16.ss0.avif,136723,0.4805774688720703,2.9106316683613733,81.17515365
mars,webp,6,16,q90.5.webp,187116,0.17167878150939941,8.14768131333351,81.41631949
mars,libavif,7,16,s7.q16.ss0.avif,147566,0.33667922019958496,4.15464904299943,81.77108136
mars,webp,7,16,q91.webp,191634,0.1708984375,8.184884662857142,81.62805607
mars,libavif,5,20,s5.q20.ss0.avif,107483,2.3507490158081055,0.5950375776374182,79.35273388
mars,webp,5,20,q89.webp,173616,0.17696857452392578,7.904137803917765,80.13795809
mars,libavif,6,20,s6.q20.ss0.avif,112315,0.45212554931640625,3.093795522316532,78.20332137
mars,webp,6,20,q88.5.webp,159380,0.18041396141052246,7.753191543846991,78.21173575
mars,libavif,7,20,s7.q20.ss0.avif,115881,0.32209038734436035,4.34283063065928,78.45160349
mars,webp,7,20,q88.5.webp,159380,0.18041396141052246,7.753191543846991,78.21173575
mars,libavif,5,24,s5.q24.ss0.avif,89858,2.2609481811523438,0.618671410366901,76.51758021
mars,webp,5,24,q86.webp,137378,0.16806554794311523,8.32284794307423,76.74008392
mars,libavif,6,24,s6.q24.ss0.avif,93225,0.6589529514312744,2.122737286420495,75.33159392
mars,webp,6,24,q85.5.webp,130120,0.16210603713989258,8.628821138801214,75.06119744
mars,libavif,7,24,s7.q24.ss0.avif,95346,0.3333759307861328,4.195815806802643,75.12734308
mars,webp,7,24,q84.5.webp,126132,0.16434526443481445,8.511252239670164,75.10966629
mars,libavif,5,28,s5.q28.ss0.avif,68496,2.0687389373779297,0.6761529812809154,71.38419155
mars,webp,5,28,q81.webp,104896,0.17251372337341309,8.108247695589261,71.47109202
mars,libavif,6,28,s6.q28.ss0.avif,70856,0.6106314659118652,2.290717197010433,69.77271563
mars,webp,6,28,q79.5.webp,96996,0.1499955654144287,9.32550236492155,69.97518919
mars,libavif,7,28,s7.q28.ss0.avif,74763,0.3108937740325928,4.499234519419348,70.05005578
mars,webp,7,28,q79.5.webp,96996,0.1499955654144287,9.32550236492155,69.97518919
mars,libavif,5,32,s5.q32.ss0.avif,52167,1.9579370021820068,0.7144172659493828,64.9139441
mars,webp,5,32,q72.5.webp,77734,0.14627814292907715,9.562494929117326,64.77633552
mars,libavif,6,32,s6.q32.ss0.avif,54208,0.5672695636749268,2.465818879719716,62.99254781
mars,webp,6,32,q68.5.webp,72766,0.14367198944091797,9.73595483325036,62.68150874
mars,libavif,7,32,s7.q32.ss0.avif,57528,0.31040287017822266,4.506350083673087,63.50936045
mars,webp,7,32,q70.webp,74578,0.14608049392700195,9.575433121816989,63.51927609
mars,libavif,5,36,s5.q36.ss0.avif,39214,1.746100664138794,0.8010901254023082,57.47935716
mars,webp,5,36,q54.5.webp,60452,0.14545702934265137,9.616475782032516,57.40046644
mars,libavif,6,36,s6.q36.ss0.avif,40651,0.5405988693237305,2.5874711905147487,55.8213223
mars,webp,6,36,q49.webp,56330,0.14232921600341797,9.827806540903092,55.84540355
mars,libavif,7,36,s7.q36.ss0.avif,42858,0.2711198329925537,5.159283201677162,55.45818157
mars,webp,7,36,q48.webp,55678,0.1439375877380371,9.717989734173903,55.36052847
mars,libavif,5,40,s5.q40.ss0.avif,29086,1.5241034030914307,0.9177749994933166,49.37970883
mars,webp,5,40,q36.5.webp,44772,0.13814663887023926,10.125356732811095,49.39951136
mars,libavif,6,40,s6.q40.ss0.avif,30190,0.4764220714569092,2.936018467243736,47.17697683
mars,webp,6,40,q32.5.webp,41304,0.13455820083618164,10.395382751163227,46.96281155
mars,libavif,7,40,s7.q40.ss0.avif,31259,0.2771933078765869,5.046240151738338,46.44257518
mars,webp,7,40,q32.webp,40828,0.13838505744934082,10.107912124197792,46.39953287
mars,libavif,5,44,s5.q44.ss0.avif,21429,1.428673505783081,0.9790788408533564,40.29168238
mars,webp,5,44,q22.5.webp,33460,0.1439495086669922,9.71718495570484,40.21453586
mars,libavif,6,44,s6.q44.ss0.avif,22098,0.4644455909729004,3.0117284504087722,37.72090114
mars,webp,6,44,q19.5.webp,31000,0.13674187660217285,10.22937548289997,37.48120709
mars,libavif,7,44,s7.q44.ss0.avif,22822,0.24400734901428223,5.732548653352758,37.05111014
mars,webp,7,44,q19.webp,30728,0.13780593872070312,10.150389837951558,36.98512635
louvre,libavif,5,8,s5.q8.ss0.avif,513670,6.347164869308472,0.3223486457541654,87.70553324
louvre,webp,5,8,q99.webp,779448,0.33547163009643555,6.098876377152523,85.74435795
louvre,libavif,6,8,s6.q8.ss0.avif,515040,1.0544791221618652,1.9402944610276824,86.84324153
louvre,webp,6,8,q99.webp,779448,0.33547163009643555,6.098876377152523,85.74435795
louvre,libavif,7,8,s7.q8.ss0.avif,601802,0.768303394317627,2.6630104918606623,88.44066518
louvre,webp,7,8,q99.webp,779448,0.33547163009643555,6.098876377152523,85.74435795
louvre,libavif,5,12,s5.q12.ss0.avif,370082,5.4051220417022705,0.3785298433993619,84.16212395
louvre,webp,5,12,q94.webp,526114,0.28203606605529785,7.25439135716369,84.26635586
louvre,libavif,6,12,s6.q12.ss0.avif,377611,0.9197995662689209,2.22439765687149,82.89347438
louvre,webp,6,12,q92.5.webp,466100,0.2872314453125,7.1231755206119844,83.3121865
