fname,codec,effort,quality,outname,size,enc_time,perf,dssim
munhell,libavif,5,10,munhell.s5.q10,20427,0.37090229988098145,0.4240119299623251,93.28591211
munhell,webp,5,10,munhell.q100,19058,0.02971673011779785,5.292204067425647,93.20642095
munhell,libavif,6,10,munhell.s6.q10,21747,0.25449371337890625,0.6179602549389933,93.22313241
munhell,libavif,7,10,munhell.s7.q10,24763,0.15737390518188477,0.9993206930859266,92.96929933
munhell,webp,7,10,munhell.q97,17404,0.03169965744018555,4.9611577127213105,93.00153389
munhell,libavif,8,10,munhell.s8.q10,25052,0.04193544387817383,3.7502166534083803,93.13673896
munhell,libavif,5,12,munhell.s5.q12,19683,0.3986246585845947,0.39452401303625156,93.00861843
munhell,webp,5,12,munhell.q97,17404,0.03169965744018555,4.9611577127213105,93.00153389
munhell,libavif,6,12,munhell.s6.q12,20962,0.2500467300415039,0.6289504364799976,93.06756053
munhell,libavif,7,12,munhell.s7.q12,23706,0.1558549404144287,1.009060088706951,92.75318016
munhell,webp,7,12,munhell.q94.5,16014,0.031336069107055664,5.018721380231753,92.79674983
munhell,libavif,8,12,munhell.s8.q12,24066,0.04003429412841797,3.928307053336192,92.99875725
munhell,libavif,5,14,munhell.s5.q14,19076,0.37139272689819336,0.4234520188735689,92.66515607
munhell,webp,5,14,munhell.q94,15996,0.03200960159301758,4.913119569545203,92.66386292
munhell,libavif,6,14,munhell.s6.q14,20412,0.23040485382080078,0.6825680856633154,92.73755443
munhell,libavif,7,14,munhell.s7.q14,22962,0.14280176162719727,1.1012959378650113,92.42748038
munhell,webp,7,14,munhell.q93.5,15536,0.02954387664794922,5.323167364730947,92.52968345
munhell,libavif,8,14,munhell.s8.q14,23375,0.040151357650756836,3.916853855053531,92.68203024
munhell,libavif,5,16,munhell.s5.q16,18516,0.41602110862731934,0.37802649129730376,92.59399817
munhell,webp,5,16,munhell.q93.5,15536,0.02954387664794922,5.323167364730947,92.52968345
munhell,libavif,6,16,munhell.s6.q16,19892,0.26279783248901367,0.5984333984435528,92.63085209
munhell,libavif,7,16,munhell.s7.q16,22002,0.16481685638427734,0.9541924500326924,92.03074508
munhell,webp,7,16,munhell.q91.5,14762,0.03653764724731445,4.304245397507341,92.01575986
munhell,libavif,8,16,munhell.s8.q16,22554,0.04565882682800293,3.4443942371192704,92.6583393
munhell,libavif,5,18,munhell.s5.q18,18091,0.4259474277496338,0.3692169262081786,92.30337435
munhell,webp,5,18,munhell.q92.5,15172,0.0292513370513916,5.376403811001801,92.30168422
munhell,libavif,6,18,munhell.s6.q18,19490,0.2644681930541992,0.5946537395813425,92.45770156
munhell,libavif,7,18,munhell.s7.q18,21256,0.16503500938415527,0.9529311422276863,91.68873262
munhell,webp,7,18,munhell.q90,14170,0.027983903884887695,5.6199092395014185,91.59842699
munhell,libavif,8,18,munhell.s8.q18,22146,0.03680825233459473,4.272601659280371,92.40242046
munhell,libavif,5,20,munhell.s5.q20,17706,0.370516300201416,0.42445366078228747,91.73367548
munhell,webp,5,20,munhell.q90.5,14264,0.032250165939331055,4.8764710326095795,91.797512
munhell,libavif,6,20,munhell.s6.q20,18949,0.2317507266998291,0.6786041288392474,91.82997785
munhell,libavif,7,20,munhell.s7.q20,20647,0.1450049877166748,1.084562693162555,91.46959021
munhell,webp,7,20,munhell.q88.5,13724,0.027553796768188477,5.707634462251988,91.48260261
munhell,libavif,8,20,munhell.s8.q20,21578,0.03636574745178223,4.324591436172794,92.15704196
munhell,libavif,5,22,munhell.s5.q22,17393,0.4035172462463379,0.38974046701337806,91.41913778
munhell,webp,5,22,munhell.q88.5,13724,0.027553796768188477,5.707634462251988,91.48260261
munhell,libavif,6,22,munhell.s6.q22,18567,0.2653772830963135,0.592616663208972,91.66972977
munhell,libavif,7,22,munhell.s7.q22,19999,0.16262030601501465,0.9670809498137312,91.16254902
munhell,webp,7,22,munhell.q88,13418,0.031880855560302734,4.9329604628247505,91.11527052
munhell,libavif,8,22,munhell.s8.q22,21058,0.04314708709716797,3.6449042236810114,92.09987984
munhell,libavif,5,24,munhell.s5.q24,17020,0.42122483253479004,0.3733564307061857,91.40710064
munhell,webp,5,24,munhell.q88.5,13724,0.027553796768188477,5.707634462251988,91.48260261
munhell,libavif,6,24,munhell.s6.q24,18206,0.25565147399902344,0.6151617181780878,91.20933503
munhell,libavif,7,24,munhell.s7.q24,19638,0.16314435005187988,0.9639745412574148,90.96179834
munhell,webp,7,24,munhell.q87,13300,0.036859989166259766,4.2666046181032575,90.92448756
munhell,libavif,8,24,munhell.s8.q24,20688,0.042604684829711914,3.691307672585438,91.83074553
munhell,libavif,5,26,munhell.s5.q26,16437,0.40972137451171875,0.38383889585311814,90.89966104
munhell,webp,5,26,munhell.q87,13300,0.036859989166259766,4.2666046181032575,90.92448756
munhell,libavif,6,26,munhell.s6.q26,17712,0.22974753379821777,0.6845209495833986,90.66847491
munhell,libavif,7,26,munhell.s7.q26,19168,0.14605355262756348,1.076776272611669,90.28550031
munhell,webp,7,26,munhell.q85,12788,0.02757883071899414,5.702453508722789,90.28590694
munhell,libavif,8,26,munhell.s8.q26,20267,0.03742790222167969,4.201865203893391,91.37561466
munhell,libavif,5,28,munhell.s5.q28,16089,0.3886561393737793,0.4046430354950673,90.55638557
