fname,codec,effort,quality,outname,size,enc_time,perf,dssim
munhell,libavif,5,12,munhell.s5.q12,19683,0.3986246585845947,0.39452401303625156,93.00861843
munhell,webp,5,12,munhell.q97,17404,0.03169965744018555,4.9611577127213105,93.00153389
munhell,libavif,6,12,munhell.s6.q12,20962,0.2500467300415039,0.6289504364799976,93.06756053
munhell,libavif,7,12,munhell.s7.q12,23706,0.1558549404144287,1.009060088706951,92.75318016
munhell,webp,7,12,munhell.q94.5,16014,0.031336069107055664,5.018721380231753,92.79674983
munhell,libavif,8,12,munhell.s8.q12,24066,0.04003429412841797,3.928307053336192,92.99875725
munhell,libavif,5,16,munhell.s5.q16,18516,0.41602110862731934,0.37802649129730376,92.59399817
munhell,webp,5,16,munhell.q93.5,15536,0.02954387664794922,5.323167364730947,92.52968345
munhell,libavif,6,16,munhell.s6.q16,19892,0.26279783248901367,0.5984333984435528,92.63085209
munhell,libavif,7,16,munhell.s7.q16,22002,0.16481685638427734,0.9541924500326924,92.03074508
munhell,webp,7,16,munhell.q91.5,14762,0.03653764724731445,4.304245397507341,92.01575986
munhell,libavif,8,16,munhell.s8.q16,22554,0.04565882682800293,3.4443942371192704,92.6583393
munhell,libavif,5,20,munhell.s5.q20,17706,0.370516300201416,0.42445366078228747,91.73367548
munhell,webp,5,20,munhell.q90.5,14264,0.032250165939331055,4.8764710326095795,91.797512
munhell,libavif,6,20,munhell.s6.q20,18949,0.2317507266998291,0.6786041288392474,91.82997785
munhell,libavif,7,20,munhell.s7.q20,20647,0.1450049877166748,1.084562693162555,91.46959021
munhell,webp,7,20,munhell.q88.5,13724,0.027553796768188477,5.707634462251988,91.48260261
munhell,libavif,8,20,munhell.s8.q20,21578,0.03636574745178223,4.324591436172794,92.15704196
munhell,libavif,5,24,munhell.s5.q24,17020,0.42122483253479004,0.3733564307061857,91.40710064
munhell,webp,5,24,munhell.q88.5,13724,0.027553796768188477,5.707634462251988,91.48260261
munhell,libavif,6,24,munhell.s6.q24,18206,0.25565147399902344,0.6151617181780878,91.20933503
munhell,libavif,7,24,munhell.s7.q24,19638,0.16314435005187988,0.9639745412574148,90.96179834
munhell,webp,7,24,munhell.q87,13300,0.036859989166259766,4.2666046181032575,90.92448756
munhell,libavif,8,24,munhell.s8.q24,20688,0.042604684829711914,3.691307672585438,91.83074553
munhell,libavif,5,28,munhell.s5.q28,16089,0.3886561393737793,0.4046430354950673,90.55638557
munhell,webp,5,28,munhell.q86,13064,0.028123140335083008,5.592085312173079,90.57123252
munhell,libavif,6,28,munhell.s6.q28,17241,0.25942373275756836,0.6062167031840764,90.35582114
munhell,libavif,7,28,munhell.s7.q28,18482,0.1625981330871582,0.9672128271958661,89.23836442
munhell,webp,7,28,munhell.q82.5,12398,0.031816959381103516,4.942867045095541,89.20922717
munhell,libavif,8,28,munhell.s8.q28,19874,0.04486799240112305,3.505104453839205,91.25121145
munhell,libavif,5,32,munhell.s5.q32,15159,0.4009978771209717,0.39218910865345114,88.22977736
munhell,webp,5,32,munhell.q77,11578,0.03256726264953613,4.828990440258571,88.21594674
munhell,libavif,6,32,munhell.s6.q32,16299,0.2571451663970947,0.6115883965601806,88.05032495
munhell,libavif,7,32,munhell.s7.q32,17354,0.1531217098236084,1.027071864474129,86.80425086
munhell,webp,7,32,munhell.q69,11042,0.03183603286743164,4.939905692863027,86.76858287
munhell,libavif,8,32,munhell.s8.q32,18993,0.0411376953125,3.8229414362017806,90.0704245
munhell,libavif,5,36,munhell.s5.q36,14257,0.4355647563934326,0.3610645666150854,86.03041272
munhell,webp,5,36,munhell.q65,10854,0.03249955177307129,4.83905135363465,86.19641596
munhell,libavif,6,36,munhell.s6.q36,15428,0.2502584457397461,0.6284183518167787,85.55709059
munhell,libavif,7,36,munhell.s7.q36,16126,0.14975690841674805,1.0501485484886792,84.32306246
munhell,webp,7,36,munhell.q44.5,10126,0.0274050235748291,5.738619402044456,84.39999197
munhell,libavif,8,36,munhell.s8.q36,18025,0.038064002990722656,4.131646375667076,88.77615685
munhell,libavif,5,40,munhell.s5.q40,13588,0.4776124954223633,0.32927739853398375,83.02984593
munhell,webp,5,40,munhell.q37.5,9834,0.029857158660888672,5.2673130014213845,83.07943943
munhell,libavif,6,40,munhell.s6.q40,14594,0.2716054916381836,0.5790273202925572,82.40758223
munhell,libavif,7,40,munhell.s7.q40,15265,0.15671515464782715,1.0035213272986454,79.44407074
munhell,webp,7,40,munhell.q26,9318,0.029789447784423828,5.279285508683752,79.39613274
munhell,libavif,8,40,munhell.s8.q40,16981,0.03788590431213379,4.151068922740001,85.38562457
munhell,libavif,5,44,munhell.s5.q44,12899,0.4576070308685303,0.3436726042025839,78.68414751
