fname,codec,effort,quality,outname,size,enc_time,perf,dssim
munhell,libavif,5,10,munhell.s5.q10.ss1,20373,0.33399105072021484,0.47087189809688335,93.2520862
munhell,webp,5,10,munhell.q100,19058,0.03291630744934082,4.777783785196399,93.20642095
munhell,libavif,6,10,munhell.s6.q10.ss1,21680,0.2243344783782959,0.7010380265079013,93.01570186
munhell,libavif,7,10,munhell.s7.q10.ss1,24662,0.15513825416564941,1.0137216049374747,93.12533054
munhell,webp,7,10,munhell.q98.5,18440,0.0313258171081543,5.0203638569754165,93.13102858
munhell,libavif,8,10,munhell.s8.q10.ss1,24952,0.04404425621032715,3.570658549641378,93.0719463
munhell,libavif,5,12,munhell.s5.q12.ss1,19648,0.35810327529907227,0.43916660597046325,93.1368018
munhell,webp,5,12,munhell.q99,18678,0.030493497848510742,5.157394562647089,93.13284117
munhell,libavif,6,12,munhell.s6.q12.ss1,20936,0.2295081615447998,0.6852348907396115,92.8059444
munhell,libavif,7,12,munhell.s7.q12.ss1,23583,0.1487562656402588,1.0572126109990079,92.81941033
munhell,webp,7,12,munhell.q94.5,16014,0.029734373092651367,5.289063923088642,92.79674983
munhell,libavif,8,12,munhell.s8.q12.ss1,23944,0.03940463066101074,3.991079153943428,92.78994673
munhell,libavif,5,14,munhell.s5.q14.ss1,19091,0.3580195903778076,0.4392692585175038,93.02554625
munhell,webp,5,14,munhell.q97,17404,0.032144784927368164,4.892457683426665,93.00153389
munhell,libavif,6,14,munhell.s6.q14.ss1,20341,0.2185654640197754,0.7195418576549257,92.95295155
munhell,libavif,7,14,munhell.s7.q14.ss1,22854,0.1489267349243164,1.056002470475983,92.62885757
munhell,webp,7,14,munhell.q94,15996,0.03347492218017578,4.698054237543091,92.66386292
munhell,libavif,8,14,munhell.s8.q14.ss1,23273,0.039722442626953125,3.9591472628445215,92.72307974
munhell,libavif,5,16,munhell.s5.q16.ss1,18521,0.36475229263305664,0.4311611007698633,92.65856917
munhell,webp,5,16,munhell.q94,15996,0.03347492218017578,4.698054237543091,92.66386292
munhell,libavif,6,16,munhell.s6.q16.ss1,19906,0.2351386547088623,0.6688266554672632,92.37046323
munhell,libavif,7,16,munhell.s7.q16.ss1,21918,0.15979361534118652,0.9841882584871006,92.33676197
munhell,webp,7,16,munhell.q93,15334,0.03130841255187988,5.02315471087521,92.3246515
munhell,libavif,8,16,munhell.s8.q16.ss1,22473,0.041841983795166016,3.7585933011658255,92.77564283
munhell,libavif,5,18,munhell.s5.q18.ss1,18134,0.3693044185638428,0.4258465160302781,92.63313318
munhell,webp,5,18,munhell.q94,15996,0.03347492218017578,4.698054237543091,92.66386292
munhell,libavif,6,18,munhell.s6.q18.ss1,19444,0.2278885841369629,0.6901047746449698,92.06221552
munhell,libavif,7,18,munhell.s7.q18.ss1,21215,0.15705466270446777,1.0013519961259079,91.88280278
munhell,webp,7,18,munhell.q90.5,14264,0.033632755279541016,4.676007026271391,91.797512
munhell,libavif,8,18,munhell.s8.q18.ss1,22095,0.04740023612976074,3.31785266996293,92.51811719
munhell,libavif,5,20,munhell.s5.q20.ss1,17712,0.368969202041626,0.42623340682580224,92.41638244
munhell,webp,5,20,munhell.q93,15334,0.03130841255187988,5.02315471087521,92.3246515
munhell,libavif,6,20,munhell.s6.q20.ss1,18946,0.2171788215637207,0.7241359855793191,92.3917771
munhell,libavif,7,20,munhell.s7.q20.ss1,20614,0.15063929557800293,1.0439971814563165,91.65969571
munhell,webp,7,20,munhell.q90,14170,0.031212329864501953,5.038617773255726,91.59842699
munhell,libavif,8,20,munhell.s8.q20.ss1,21546,0.03605842590332031,4.361449399418144,92.36662161
munhell,libavif,5,22,munhell.s5.q22.ss1,17376,0.336655855178833,0.4671447045424447,92.13020986
munhell,webp,5,22,munhell.q92,14936,0.028392553329467773,5.539022791471782,92.1352809
munhell,libavif,6,22,munhell.s6.q22.ss1,18616,0.2424144744873047,0.6487525150163264,91.83367879
munhell,libavif,7,22,munhell.s7.q22.ss1,19996,0.16025805473327637,0.9813360099855543,91.16254902
munhell,webp,7,22,munhell.q88,13418,0.03058600425720215,5.1417961848667435,91.11527052
munhell,libavif,8,22,munhell.s8.q22.ss1,21055,0.041428565979003906,3.796100499343938,92.09987984
munhell,libavif,5,24,munhell.s5.q24.ss1,17043,0.3768575191497803,0.41731156208533804,91.70201226
munhell,webp,5,24,munhell.q90.5,14264,0.033632755279541016,4.676007026271391,91.797512
munhell,libavif,6,24,munhell.s6.q24.ss1,18269,0.23896312713623047,0.6581224554796844,91.36616581
munhell,libavif,7,24,munhell.s7.q24.ss1,19635,0.16074156761169434,0.9783841375736243,90.96179834
munhell,webp,7,24,munhell.q87,13300,0.0328824520111084,4.78270294279976,90.92448756
munhell,libavif,8,24,munhell.s8.q24.ss1,20685,0.043433189392089844,3.6208945785740947,91.83074553
munhell,libavif,5,26,munhell.s5.q26.ss1,16554,0.3671276569366455,0.42837143164928937,91.15185575
munhell,webp,5,26,munhell.q88,13418,0.03058600425720215,5.1417961848667435,91.11527052
munhell,libavif,6,26,munhell.s6.q26.ss1,17741,0.23018407821655273,0.6832227546687493,90.87634869
munhell,libavif,7,26,munhell.s7.q26.ss1,19165,0.15766358375549316,0.9974846204428018,90.28550031
munhell,webp,7,26,munhell.q85,12788,0.03134727478027344,5.016927343839367,90.28590694
munhell,libavif,8,26,munhell.s8.q26.ss1,20264,0.040302276611328125,3.9021865071462374,91.37561466
munhell,libavif,5,28,munhell.s5.q28.ss1,16171,0.33821678161621094,0.46498875439734266,90.6268641
munhell,webp,5,28,munhell.q86,13064,0.02796769142150879,5.623167019035847,90.57123252
munhell,libavif,6,28,munhell.s6.q28.ss1,17306,0.2138054370880127,0.7355612754378237,90.08813971
munhell,libavif,7,28,munhell.s7.q28.ss1,18479,0.16138124465942383,0.974506054479215,89.23836442
munhell,webp,7,28,munhell.q82.5,12398,0.031256914138793945,5.03143078365535,89.20922717
munhell,libavif,8,28,munhell.s8.q28.ss1,19871,0.0414738655090332,3.7919542359934235,91.25121145
munhell,libavif,5,30,munhell.s5.q30.ss1,15744,0.3787703514099121,0.4152040924391224,89.80220199
munhell,webp,5,30,munhell.q84,12672,0.03359675407409668,4.681017685611893,90.02082517
munhell,libavif,6,30,munhell.s6.q30.ss1,16932,0.2309889793395996,0.6808420057512196,89.09117776
munhell,libavif,7,30,munhell.s7.q30.ss1,17933,0.15605688095092773,1.007754345990375,88.27750516
munhell,webp,7,30,munhell.q77,11578,0.0339813232421875,4.628042259541985,88.21594674
munhell,libavif,8,30,munhell.s8.q30.ss1,19497,0.04176211357116699,3.7657816272157936,90.91013021
munhell,libavif,5,32,munhell.s5.q32.ss1,15298,0.392261266708374,0.4009241119310408,88.56465696
munhell,webp,5,32,munhell.q78,11678,0.03368782997131348,4.668362436343305,88.4879255
munhell,libavif,6,32,munhell.s6.q32.ss1,16360,0.243668794631958,0.6454129681953698,88.25038506
munhell,libavif,7,32,munhell.s7.q32.ss1,17351,0.1437685489654541,1.0938901528302232,86.80425086
munhell,webp,7,32,munhell.q69,11042,0.031124114990234375,5.052898694447849,86.76858287
munhell,libavif,8,32,munhell.s8.q32.ss1,18990,0.03524923324584961,4.461572224936758,90.0704245
munhell,libavif,5,34,munhell.s5.q34.ss1,14801,0.38361692428588867,0.4099584508497793,87.14927808
munhell,webp,5,34,munhell.q70.5,11088,0.031096458435058594,5.057392639371914,87.11203006
munhell,libavif,6,34,munhell.s6.q34.ss1,15841,0.24809002876281738,0.633911007162455,86.71600037
munhell,libavif,7,34,munhell.s7.q34.ss1,16627,0.16831326484680176,0.9343708004425197,85.45281599
munhell,webp,7,34,munhell.q50,10320,0.028500080108642578,5.5181248403687535,85.59525996
munhell,libavif,8,34,munhell.s8.q34.ss1,18432,0.04270648956298828,3.6825082466224517,89.46179003
munhell,libavif,5,36,munhell.s5.q36.ss1,14297,0.3959784507751465,0.3971605012650118,85.87136996
munhell,webp,5,36,munhell.q63,10822,0.03073740005493164,5.116470479576798,85.75833322
munhell,libavif,6,36,munhell.s6.q36.ss1,15426,0.2502145767211914,0.6285285296357421,85.54297627
munhell,libavif,7,36,munhell.s7.q36.ss1,16123,0.15817952156066895,0.9942311017781215,84.32306246
munhell,webp,7,36,munhell.q44.5,10126,0.0297849178314209,5.280088428986528,84.39999197
munhell,libavif,8,36,munhell.s8.q36.ss1,18022,0.04035210609436035,3.8973678259132996,88.77615685
munhell,libavif,5,38,munhell.s5.q38.ss1,13990,0.37495851516723633,0.41942506607659485,84.6729437
munhell,webp,5,38,munhell.q46.5,10174,0.030277013778686523,5.194270516556292,84.59625204
munhell,libavif,6,38,munhell.s6.q38.ss1,14955,0.2463979721069336,0.6382641815402121,83.57658653
munhell,libavif,7,38,munhell.s7.q38.ss1,15803,0.15591883659362793,1.0086465717409487,81.88223255
munhell,webp,7,38,munhell.q34,9672,0.03140735626220703,5.007330088118301,81.95185814
munhell,libavif,8,38,munhell.s8.q38.ss1,17562,0.04019904136657715,3.9122077207233388,87.52937003
munhell,libavif,5,40,munhell.s5.q40.ss1,13623,0.3993844985961914,0.39377342023233874,82.79211476
munhell,webp,5,40,munhell.q37,9794,0.02995896339416504,5.249413937687515,82.85445795
munhell,libavif,6,40,munhell.s6.q40.ss1,14539,0.24010753631591797,0.6549856885503097,81.84086091
munhell,libavif,7,40,munhell.s7.q40.ss1,15262,0.16265368461608887,0.9668824925251276,79.44407074
munhell,webp,7,40,munhell.q26,9318,0.029772043228149414,5.282371747038991,79.39613274
munhell,libavif,8,40,munhell.s8.q40.ss1,16978,0.03899788856506348,4.032705507571728,85.38562457
munhell,libavif,5,42,munhell.s5.q42.ss1,13194,0.37934255599975586,0.41457779390325306,80.85993272
munhell,webp,5,42,munhell.q30,9552,0.027088165283203125,5.805745732713702,80.93424874
munhell,libavif,6,42,munhell.s6.q42.ss1,14145,0.21107912063598633,0.7450618494437103,79.85408712
munhell,libavif,7,42,munhell.s7.q42.ss1,14968,0.14262127876281738,1.102689594177169,77.93858684
munhell,webp,7,42,munhell.q24,9198,0.03154921531677246,4.984814944554021,77.96211516
munhell,libavif,8,42,munhell.s8.q42.ss1,16455,0.041170358657836914,3.8199084274934707,82.58660493
munhell,libavif,5,44,munhell.s5.q44.ss1,12896,0.4004840850830078,0.39269225883820946,79.20728033
munhell,webp,5,44,munhell.q26,9318,0.029772043228149414,5.282371747038991,79.39613274
munhell,libavif,6,44,munhell.s6.q44.ss1,13882,0.2418379783630371,0.6502990186426274,78.50008574
munhell,libavif,7,44,munhell.s7.q44.ss1,14671,0.15424537658691406,1.0195897178894262,75.40811845
munhell,webp,7,44,munhell.q17.5,8898,0.02795577049255371,5.625564855809986,75.76032948
