fname,codec,effort,quality,outname,size,enc_time,perf,dssim
munhell,ss:0,5,10,s5.q10.ss0.avif,20427,0.4208371639251709,0.37370036080740165,93.28591211
munhell,ss:1,5,10,s5.q10.ss1.avif,20373,0.4068608283996582,0.38653757998427185,93.2520862
munhell,ss:2,5,10,s5.q10.ss2.avif,20278,0.3973710536956787,0.395768636233984,93.1083792
munhell,ss:0,6,10,s6.q10.ss0.avif,21747,0.2864968776702881,0.5489309387203481,93.22313241
munhell,ss:1,6,10,s6.q10.ss1.avif,21680,0.23342585563659668,0.6737342766554416,93.01570186
munhell,ss:2,6,10,s6.q10.ss2.avif,21590,0.25438404083251953,0.6182266760340556,92.97942779
munhell,ss:0,5,12,s5.q12.ss0.avif,19683,0.42690396308898926,0.368389646378657,93.00861843
munhell,ss:1,5,12,s5.q12.ss1.avif,19648,0.3665587902069092,0.4290362261159485,93.1368018
munhell,ss:2,5,12,s5.q12.ss2.avif,19584,0.3875865936279297,0.40575964851604523,92.93644682
munhell,ss:0,6,12,s6.q12.ss0.avif,20962,0.26412439346313477,0.5954277752916093,93.06756053
munhell,ss:1,6,12,s6.q12.ss1.avif,20936,0.2297670841217041,0.6844627053573004,92.8059444
munhell,ss:2,6,12,s6.q12.ss2.avif,20789,0.2511937618255615,0.6260784458063579,92.79115861
munhell,ss:0,5,14,s5.q14.ss0.avif,19076,0.4205038547515869,0.37399657154844784,92.66515607
munhell,ss:1,5,14,s5.q14.ss1.avif,19091,0.37097978591918945,0.4239233671730499,93.02554625
munhell,ss:2,5,14,s5.q14.ss2.avif,19006,0.380704402923584,0.41309477587409743,93.02536439
munhell,ss:0,6,14,s6.q14.ss0.avif,20412,0.26673102378845215,0.5896089542427224,92.73755443
munhell,ss:1,6,14,s6.q14.ss1.avif,20341,0.2343301773071289,0.6711342167162503,92.95295155
munhell,ss:2,6,14,s6.q14.ss2.avif,20314,0.25811004638671875,0.6093021259791316,92.77938545
munhell,ss:0,5,16,s5.q16.ss0.avif,18516,0.4290452003479004,0.3665511229876869,92.59399817
munhell,ss:1,5,16,s5.q16.ss1.avif,18521,0.37097764015197754,0.42392581918299116,92.65856917
munhell,ss:2,5,16,s5.q16.ss2.avif,18464,0.39084720611572266,0.4023746301347134,92.8291103
munhell,ss:0,6,16,s6.q16.ss0.avif,19892,0.26198768615722656,0.6002839381757027,92.63085209
munhell,ss:1,6,16,s6.q16.ss1.avif,19906,0.22650361061096191,0.6943244726907187,92.37046323
munhell,ss:2,6,16,s6.q16.ss2.avif,19849,0.2477705478668213,0.6347283862185764,92.79619636
munhell,ss:0,5,18,s5.q18.ss0.avif,18091,0.4085967540740967,0.3848953728386215,92.30337435
munhell,ss:1,5,18,s5.q18.ss1.avif,18134,0.361558198928833,0.43497008356033856,92.63313318
munhell,ss:2,5,18,s5.q18.ss2.avif,18049,0.39251208305358887,0.4006679202752815,92.55182451
munhell,ss:0,6,18,s6.q18.ss0.avif,19490,0.2581343650817871,0.6092447239644811,92.45770156
munhell,ss:1,6,18,s6.q18.ss1.avif,19444,0.23100948333740234,0.6807815754052949,92.06221552
munhell,ss:2,6,18,s6.q18.ss2.avif,19410,0.24390149116516113,0.644797205825628,92.34045503
munhell,ss:0,5,20,s5.q20.ss0.avif,17706,0.4213240146636963,0.3732685404261411,91.73367548
munhell,ss:1,5,20,s5.q20.ss1.avif,17712,0.358966588973999,0.43811041147172414,92.41638244
munhell,ss:2,5,20,s5.q20.ss2.avif,17636,0.3921487331390381,0.40103916374056037,92.3816122
munhell,ss:0,6,20,s6.q20.ss0.avif,18949,0.2588460445404053,0.6075696473524863,91.82997785
munhell,ss:1,6,20,s6.q20.ss1.avif,18946,0.22156381607055664,0.7098045285062187,92.3917771
munhell,ss:2,6,20,s6.q20.ss2.avif,18900,0.25211215019226074,0.6237977815827922,92.04034445
munhell,ss:0,5,22,s5.q22.ss0.avif,17393,0.4230058193206787,0.37178448337321013,91.41913778
munhell,ss:1,5,22,s5.q22.ss1.avif,17376,0.3625197410583496,0.43381637518792937,92.13020986
munhell,ss:2,5,22,s5.q22.ss2.avif,17253,0.39865636825561523,0.3944926320583989,92.0347667
munhell,ss:0,6,22,s6.q22.ss0.avif,18567,0.25324535369873047,0.6210064575837799,91.66972977
munhell,ss:1,6,22,s6.q22.ss1.avif,18616,0.22631001472473145,0.6949184294441816,91.83367879
munhell,ss:2,6,22,s6.q22.ss2.avif,18535,0.25287866592407227,0.6219069506133031,91.81482382
munhell,ss:0,5,24,s5.q24.ss0.avif,17020,0.41980981826782227,0.37461486882059963,91.40710064
munhell,ss:1,5,24,s5.q24.ss1.avif,17043,0.3747546672821045,0.41965321243514747,91.70201226
munhell,ss:2,5,24,s5.q24.ss2.avif,17008,0.3984658718109131,0.3946812289977724,91.72294597
munhell,ss:0,6,24,s6.q24.ss0.avif,18206,0.2634711265563965,0.5969041164225511,91.20933503
munhell,ss:1,6,24,s6.q24.ss1.avif,18269,0.23714923858642578,0.6631562510485826,91.36616581
munhell,ss:2,6,24,s6.q24.ss2.avif,18199,0.25081849098205566,0.6270151749348152,91.53022584
munhell,ss:0,5,26,s5.q26.ss0.avif,16437,0.46486663818359375,0.3383056280710969,90.89966104
munhell,ss:1,5,26,s5.q26.ss1.avif,16554,0.3952784538269043,0.39786383112313156,91.15185575
munhell,ss:2,5,26,s5.q26.ss2.avif,16436,0.4001905918121338,0.3929802529536419,90.93650174
munhell,ss:0,6,26,s6.q26.ss0.avif,17712,0.27752089500427246,0.5666852580508536,90.66847491
munhell,ss:1,6,26,s6.q26.ss1.avif,17741,0.24561691284179688,0.6402938550949725,90.87634869
munhell,ss:2,6,26,s6.q26.ss2.avif,17650,0.2882046699523926,0.545678180808029,90.80644304
munhell,ss:0,5,28,s5.q28.ss0.avif,16089,0.41756319999694824,0.3766304118781286,90.55638557
munhell,ss:1,5,28,s5.q28.ss1.avif,16171,0.3639657497406006,0.43209285519883295,90.6268641
munhell,ss:2,5,28,s5.q28.ss2.avif,16118,0.4055306911468506,0.38780541999236884,90.6258914
munhell,ss:0,6,28,s6.q28.ss0.avif,17241,0.2582368850708008,0.6090028539373148,90.35582114
munhell,ss:1,6,28,s6.q28.ss1.avif,17306,0.22835993766784668,0.6886803421217756,90.08813971
munhell,ss:2,6,28,s6.q28.ss2.avif,17173,0.2488865852355957,0.6318821878291724,90.21897751
munhell,ss:0,5,30,s5.q30.ss0.avif,15626,0.4238777160644531,0.37101973998578075,89.57208554
munhell,ss:1,5,30,s5.q30.ss1.avif,15744,0.3735980987548828,0.4209523563533514,89.80220199
munhell,ss:2,5,30,s5.q30.ss2.avif,15650,0.3984558582305908,0.3946911477180186,89.46591742
munhell,ss:0,6,30,s6.q30.ss0.avif,16928,0.25679993629455566,0.6124105880603139,89.41109513
munhell,ss:1,6,30,s6.q30.ss1.avif,16932,0.22095918655395508,0.7117468273336426,89.09117776
munhell,ss:2,6,30,s6.q30.ss2.avif,16930,0.24699091911315918,0.6367319112973053,89.39167391
munhell,ss:0,5,32,s5.q32.ss0.avif,15159,0.4274306297302246,0.36793572818882914,88.22977736
munhell,ss:1,5,32,s5.q32.ss1.avif,15298,0.4010794162750244,0.39210937689248143,88.56465696
munhell,ss:2,5,32,s5.q32.ss2.avif,15161,0.41205596923828125,0.3816641712307208,88.23768439
munhell,ss:0,6,32,s6.q32.ss0.avif,16299,0.262256383895874,0.5996689104904349,88.05032495
munhell,ss:1,6,32,s6.q32.ss1.avif,16360,0.23890304565429688,0.6582879660210452,88.25038506
munhell,ss:2,6,32,s6.q32.ss2.avif,16301,0.2592175006866455,0.6066990059830561,87.83098336
munhell,ss:0,5,34,s5.q34.ss0.avif,14734,0.4250342845916748,0.37001015141892485,87.3736546
munhell,ss:1,5,34,s5.q34.ss1.avif,14801,0.38782405853271484,0.4055112016387033,87.14927808
munhell,ss:2,5,34,s5.q34.ss2.avif,14728,0.42049098014831543,0.37400802258476235,87.34425443
munhell,ss:0,6,34,s6.q34.ss0.avif,15765,0.2597653865814209,0.6054193827348364,86.79627682
munhell,ss:1,6,34,s6.q34.ss1.avif,15841,0.23769497871398926,0.6616336653423139,86.71600037
munhell,ss:2,6,34,s6.q34.ss2.avif,15774,0.2511734962463379,0.6261289600625725,86.91284494
munhell,ss:0,5,36,s5.q36.ss0.avif,14257,0.4293355941772461,0.36630319529266464,86.03041272
munhell,ss:1,5,36,s5.q36.ss1.avif,14297,0.38704657554626465,0.40632577559441935,85.87136996
munhell,ss:2,5,36,s5.q36.ss2.avif,14262,0.4187192916870117,0.37559052836179196,86.16972844
munhell,ss:0,6,36,s6.q36.ss0.avif,15428,0.26439523696899414,0.5948178257781657,85.55709059
munhell,ss:1,6,36,s6.q36.ss1.avif,15426,0.23810338973999023,0.6604987865638375,85.54297627
munhell,ss:2,6,36,s6.q36.ss2.avif,15404,0.26039958000183105,0.6039449065121155,85.47948441
munhell,ss:0,5,38,s5.q38.ss0.avif,13947,0.4195442199707031,0.3748520239677763,84.9248367
munhell,ss:1,5,38,s5.q38.ss1.avif,13990,0.3933558464050293,0.39980847224542293,84.6729437
munhell,ss:2,5,38,s5.q38.ss2.avif,13943,0.41333556175231934,0.3804826261095777,84.77327351
munhell,ss:0,6,38,s6.q38.ss0.avif,14923,0.25823521614074707,0.6090067898186439,83.68046981
munhell,ss:1,6,38,s6.q38.ss1.avif,14955,0.23905086517333984,0.657880907002629,83.57658653
munhell,ss:2,6,38,s6.q38.ss2.avif,14892,0.24858832359313965,0.6326403337326344,83.45314991
munhell,ss:0,5,40,s5.q40.ss0.avif,13588,0.4329946041107178,0.3632077594199914,83.02984593
munhell,ss:1,5,40,s5.q40.ss1.avif,13623,0.38509368896484375,0.408386334304111,82.79211476
munhell,ss:2,5,40,s5.q40.ss2.avif,13600,0.4173891544342041,0.3767874616032723,83.01783695
munhell,ss:0,6,40,s6.q40.ss0.avif,14594,0.2642204761505127,0.5952112504347058,82.40758223
munhell,ss:1,6,40,s6.q40.ss1.avif,14539,0.22841238975524902,0.6885221951774003,81.84086091
munhell,ss:2,6,40,s6.q40.ss2.avif,14559,0.24959874153137207,0.6300792986179103,81.86796171
munhell,ss:0,5,42,s5.q42.ss0.avif,13183,0.4318370819091797,0.36418132343964627,80.69997702
munhell,ss:1,5,42,s5.q42.ss1.avif,13194,0.3862900733947754,0.40712151523313533,80.85993272
munhell,ss:2,5,42,s5.q42.ss2.avif,13185,0.40311098098754883,0.39013325713609776,80.56449561
munhell,ss:0,6,42,s6.q42.ss0.avif,14132,0.26214051246643066,0.5999339763255379,79.99823271
munhell,ss:1,6,42,s6.q42.ss1.avif,14145,0.22612977027893066,0.6954723378793135,79.85408712
munhell,ss:2,6,42,s6.q42.ss2.avif,14224,0.25210022926330566,0.6238272787754696,80.13160892
munhell,ss:0,5,44,s5.q44.ss0.avif,12899,0.438295841217041,0.35881472104163203,78.68414751
munhell,ss:1,5,44,s5.q44.ss1.avif,12896,0.3912620544433594,0.4019479993370187,79.20728033
munhell,ss:2,5,44,s5.q44.ss2.avif,12865,0.42873477935791016,0.3668165205433745,79.06556963
munhell,ss:0,6,44,s6.q44.ss0.avif,13872,0.2705867290496826,0.5812073657578531,78.50904238
munhell,ss:1,6,44,s6.q44.ss1.avif,13882,0.23768877983093262,0.6616509206360671,78.50008574
munhell,ss:2,6,44,s6.q44.ss2.avif,13868,0.2535054683685303,0.6203692607189646,78.39122904
mars,ss:0,5,10,s5.q10.ss0.avif,202185,3.0596680641174316,0.4571685459623485,86.12751309
mars,ss:1,5,10,s5.q10.ss1.avif,176466,1.9623801708221436,0.7127997015043095,84.78805082
mars,ss:2,5,10,s5.q10.ss2.avif,159760,2.373135566711426,0.5894243968280185,83.94979982
mars,ss:0,6,10,s6.q10.ss0.avif,200660,0.5528430938720703,2.5301645539298048,85.56757191
mars,ss:1,6,10,s6.q10.ss1.avif,177272,0.5030372142791748,2.7806769763632335,84.30735908
mars,ss:2,6,10,s6.q10.ss2.avif,160607,0.4630882740020752,3.020555860573856,83.26711987
mars,ss:0,5,12,s5.q12.ss0.avif,172389,2.860032558441162,0.48907974696707507,84.760858
mars,ss:1,5,12,s5.q12.ss1.avif,151399,1.796555995941162,0.7785919298703622,83.4614317
mars,ss:2,5,12,s5.q12.ss2.avif,138501,2.1441526412963867,0.6523714650997394,82.61439066
mars,ss:0,6,12,s6.q12.ss0.avif,173747,0.5335030555725098,2.6218856394345202,84.03039132
mars,ss:1,6,12,s6.q12.ss1.avif,153879,0.4863743782043457,2.8759409678696395,83.00910718
mars,ss:2,6,12,s6.q12.ss2.avif,140881,0.46817564964294434,2.9877333455227477,81.86846754
mars,ss:0,5,14,s5.q14.ss0.avif,150739,2.68536376953125,0.5208918120780962,83.42787369
mars,ss:1,5,14,s5.q14.ss1.avif,134101,1.7149298191070557,0.8156508706159946,82.400675
mars,ss:2,5,14,s5.q14.ss2.avif,123539,2.0533220767974854,0.6812297085811535,81.32247097
mars,ss:0,6,14,s6.q14.ss0.avif,154094,0.5900774002075195,2.3705093594638145,82.62565963
mars,ss:1,6,14,s6.q14.ss1.avif,137285,0.4597747325897217,3.0423246447694634,81.59834518
mars,ss:2,6,14,s6.q14.ss2.avif,126238,0.42696452140808105,3.2761129552098787,80.48962828
